field,band,peak,snr_value
SPLUS-s29s47.fits,u,20.616814,3
SPLUS-s29s47.fits,u,19.863873,5
SPLUS-s29s47.fits,u,18.939238,10
SPLUS-s29s47.fits,u,17.153801,50
SPLUS-s29s47.fits,z,19.785278,3
SPLUS-s29s47.fits,z,19.190975,5
SPLUS-s29s47.fits,z,18.468382,10
SPLUS-s29s47.fits,z,16.973333,50
SPLUS-s29s47.fits,g,21.20438,3
SPLUS-s29s47.fits,g,20.563824,5
SPLUS-s29s47.fits,g,19.228992,10
SPLUS-s29s47.fits,g,18.247364,50
SPLUS-s22s08.fits,J0378,20.629883,3
SPLUS-s22s08.fits,J0378,17.946228,5
SPLUS-s22s08.fits,J0378,18.528133,10
SPLUS-s22s08.fits,J0378,16.014408,50
SPLUS-s22s08.fits,J0395,19.90371,3
SPLUS-s22s08.fits,J0395,18.827135,5
SPLUS-s22s08.fits,J0395,18.33439,10
SPLUS-s22s08.fits,J0395,16.347336,50
SPLUS-s22s08.fits,J0410,19.996655,3
SPLUS-s22s08.fits,J0410,17.849691,5
SPLUS-s22s08.fits,J0410,17.739162,10
SPLUS-s22s08.fits,J0410,16.138786,50
SPLUS-s22s08.fits,J0430,20.104729,3
SPLUS-s22s08.fits,J0430,19.029703,5
SPLUS-s22s08.fits,J0430,17.68264,10
SPLUS-s22s08.fits,J0430,16.71339,50
SPLUS-s22s08.fits,J0515,19.679712,3
SPLUS-s22s08.fits,J0515,19.191319,5
SPLUS-s22s08.fits,J0515,19.18016,10
SPLUS-s22s08.fits,J0515,16.933006,50
SPLUS-s22s08.fits,J0660,21.200605,3
SPLUS-s22s08.fits,J0660,20.450304,5
SPLUS-s22s08.fits,J0660,19.551914,10
SPLUS-s22s08.fits,J0660,18.25025,50
SPLUS-s22s08.fits,J0861,20.176685,3
SPLUS-s22s08.fits,J0861,19.405373,5
SPLUS-s22s08.fits,J0861,18.456669,10
SPLUS-s22s08.fits,J0861,17.233692,50
SPLUS-s22s08.fits,i,21.209576,3
SPLUS-s22s08.fits,i,20.406391,5
SPLUS-s22s08.fits,i,19.286467,10
SPLUS-s22s08.fits,i,18.220402,50
SPLUS-s22s08.fits,r,21.481194,3
SPLUS-s22s08.fits,r,20.613098,5
SPLUS-s22s08.fits,r,19.619486,10
SPLUS-s22s08.fits,r,18.579689,50
SPLUS-s22s08.fits,u,20.910088,3
SPLUS-s22s08.fits,u,19.687546,5
SPLUS-s22s08.fits,u,18.688904,10
SPLUS-s22s08.fits,u,17.772015,50
SPLUS-s22s08.fits,z,20.436825,3
SPLUS-s22s08.fits,z,19.443968,5
SPLUS-s22s08.fits,z,18.948132,10
SPLUS-s22s08.fits,z,17.57967,50
SPLUS-s22s08.fits,g,20.978176,3
SPLUS-s22s08.fits,g,19.974985,5
SPLUS-s22s08.fits,g,19.60323,10
SPLUS-s22s08.fits,g,16.94637,50
SPLUS-s22s13.fits,J0378,20.026546,3
SPLUS-s22s13.fits,J0378,19.12602,5
SPLUS-s22s13.fits,J0378,18.296621,10
SPLUS-s22s13.fits,J0378,17.040867,50
SPLUS-s22s13.fits,J0395,19.888794,3
SPLUS-s22s13.fits,J0395,18.015713,5
SPLUS-s22s13.fits,J0395,16.711056,10
SPLUS-s22s13.fits,J0395,16.35791,50
SPLUS-s22s13.fits,J0410,19.888096,3
SPLUS-s22s13.fits,J0410,18.432041,5
SPLUS-s22s13.fits,J0410,17.645144,10
SPLUS-s22s13.fits,J0410,16.509869,50
SPLUS-s22s13.fits,J0430,19.825653,3
SPLUS-s22s13.fits,J0430,19.438065,5
SPLUS-s22s13.fits,J0430,17.538454,10
SPLUS-s22s13.fits,J0430,16.49157,50
SPLUS-s22s13.fits,J0515,20.193367,3
SPLUS-s22s13.fits,J0515,19.043007,5
SPLUS-s22s13.fits,J0515,19.030304,10
SPLUS-s22s13.fits,J0515,17.03949,50
SPLUS-s22s13.fits,J0660,20.924953,3
SPLUS-s22s13.fits,J0660,20.16352,5
SPLUS-s22s13.fits,J0660,19.203726,10
SPLUS-s22s13.fits,J0660,17.66121,50
SPLUS-s22s13.fits,J0861,19.923206,3
SPLUS-s22s13.fits,J0861,18.689941,5
SPLUS-s22s13.fits,J0861,18.115551,10
SPLUS-s22s13.fits,J0861,16.544998,50
SPLUS-s22s13.fits,i,20.86384,3
SPLUS-s22s13.fits,i,20.198997,5
SPLUS-s22s13.fits,i,19.143833,10
SPLUS-s22s13.fits,i,18.070972,50
SPLUS-s22s13.fits,r,21.353264,3
SPLUS-s22s13.fits,r,20.519764,5
SPLUS-s22s13.fits,r,19.636555,10
SPLUS-s22s13.fits,r,18.411762,50
SPLUS-s22s13.fits,u,20.261377,3
SPLUS-s22s13.fits,u,19.97026,5
SPLUS-s22s13.fits,u,18.35022,10
SPLUS-s22s13.fits,u,16.661,50
SPLUS-s22s13.fits,z,20.007471,3
SPLUS-s22s13.fits,z,19.490702,5
SPLUS-s22s13.fits,z,18.77905,10
SPLUS-s22s13.fits,z,17.392004,50
SPLUS-s22s13.fits,g,21.147518,3
SPLUS-s22s13.fits,g,20.256474,5
SPLUS-s22s13.fits,g,19.184277,10
SPLUS-s22s13.fits,g,18.349424,50
SPLUS-s36s11.fits,J0378,20.667057,3
SPLUS-s36s11.fits,J0378,19.45726,5
SPLUS-s36s11.fits,J0378,18.62604,10
SPLUS-s36s11.fits,J0378,16.677319,50
SPLUS-s36s11.fits,J0395,20.11195,3
SPLUS-s36s11.fits,J0395,19.523476,5
SPLUS-s36s11.fits,J0395,17.22545,10
SPLUS-s36s11.fits,J0395,16.035145,50
SPLUS-s36s11.fits,J0410,20.048151,3
SPLUS-s36s11.fits,J0410,19.466494,5
SPLUS-s36s11.fits,J0410,18.33693,10
SPLUS-s36s11.fits,J0410,16.755535,50
SPLUS-s36s11.fits,J0430,20.491673,3
SPLUS-s36s11.fits,J0430,19.650322,5
SPLUS-s36s11.fits,J0430,18.517689,10
SPLUS-s36s11.fits,J0430,16.595589,50
SPLUS-s36s11.fits,J0515,20.381683,3
SPLUS-s36s11.fits,J0515,19.680954,5
SPLUS-s36s11.fits,J0515,18.860836,10
SPLUS-s36s11.fits,J0515,17.542736,50
SPLUS-s36s11.fits,J0660,21.228783,3
SPLUS-s36s11.fits,J0660,20.686073,5
SPLUS-s36s11.fits,J0660,19.410545,10
SPLUS-s36s11.fits,J0660,18.103111,50
SPLUS-s36s11.fits,J0861,20.153057,3
SPLUS-s36s11.fits,J0861,19.546352,5
SPLUS-s36s11.fits,J0861,17.923777,10
SPLUS-s36s11.fits,J0861,16.427124,50
SPLUS-s36s11.fits,i,21.082481,3
SPLUS-s36s11.fits,i,20.343008,5
SPLUS-s36s11.fits,i,19.307575,10
SPLUS-s36s11.fits,i,18.264275,50
SPLUS-s36s11.fits,r,21.635408,3
SPLUS-s36s11.fits,r,20.53495,5
SPLUS-s36s11.fits,r,19.681505,10
